iter	Passed	Remaining
0	1	170
1	3	156
2	4	150
3	6	145
4	7	139
5	8	138
6	10	135
7	11	131
8	12	129
9	14	126
10	15	124
11	16	123
12	18	121
13	19	118
14	20	116
15	21	115
16	23	113
17	24	112
18	26	110
19	27	109
20	28	107
21	30	107
22	32	107
23	33	106
24	36	108
25	37	106
26	38	104
27	40	103
28	41	101
29	42	100
30	44	98
31	45	97
32	48	97
33	49	96
34	51	96
35	53	94
36	54	92
37	55	91
38	57	89
39	58	87
40	59	86
41	61	84
42	62	82
43	63	81
44	65	79
45	66	78
46	67	76
47	69	75
48	70	73
49	71	71
50	73	70
51	74	69
52	76	67
53	77	66
54	80	65
55	82	65
56	85	64
57	88	64
58	91	63
59	92	61
60	95	60
61	97	59
62	99	58
63	102	57
64	104	56
65	105	54
66	109	53
67	110	52
68	112	50
69	113	48
70	115	47
71	117	45
72	119	44
73	122	43
74	125	41
75	127	40
76	133	39
77	136	38
78	138	36
79	141	35
80	145	34
81	147	32
82	149	30
83	151	28
84	154	27
85	157	25
86	159	23
87	162	22
88	165	20
89	169	18
90	172	17
91	175	15
92	178	13
93	180	11
94	181	9
95	182	7
96	183	5
97	184	3
98	186	1
99	187	0
